model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Petrol
 Fiesta,2018,10990,28138,56.5,1.0,0,1,0,0,0,0,1
 Kuga,2017,13489,34805,54.3,2.0,0,1,0,1,0,0,0
 Focus,2015,7994,64612,67.3,1.6,0,1,0,1,0,0,0
 Fiesta,2018,11489,19665,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2018,15699,17500,64.2,1.5,0,1,0,1,0,0,0
 Focus,2020,19998,4000,74.3,1.5,0,1,0,1,0,0,0
 Focus,2020,19489,5000,74.3,1.5,0,1,0,1,0,0,0
 Focus,2019,14998,7000,58.9,1.0,0,1,0,0,0,0,1
 EcoSport,2016,9199,26445,64.2,1.5,0,1,0,1,0,0,0
 C-MAX,2017,10489,26445,68.9,1.5,0,1,0,1,0,0,0
 EcoSport,2018,11489,2922,64.2,1.5,0,1,0,1,0,0,0
 Mustang,2018,29998,3000,28.8,2.3,1,0,0,0,0,0,1
 Mustang,2018,31498,6250,23.5,5.0,1,0,0,0,0,0,1
 Focus,2018,11999,6691,61.4,1.0,0,1,0,0,0,0,1
 Focus,2019,16998,8703,40.9,1.5,1,0,0,0,0,0,1
 EcoSport,2019,15489,5636,68.9,1.5,0,1,0,1,0,0,0
 Fiesta,2015,5998,55898,78.5,1.5,0,1,0,1,0,0,0
 Focus,2017,10998,28001,60.1,1.0,0,1,0,0,0,0,1
 Kuga,2014,11498,36052,47.9,2.0,0,1,0,1,0,0,0
 Mustang,2016,24999,42086,23.5,5.0,0,0,1,0,0,0,1
 Kuga,2017,15298,34673,60.1,2.0,0,1,0,1,0,0,0
 Edge,2018,19498,22068,48.7,2.0,0,1,0,1,0,0,0
 Focus,2019,16998,19936,60.1,1.0,0,1,0,0,0,0,1
 B-MAX,2017,11298,1397,44.1,1.6,0,0,1,0,0,0,1
 Focus,2017,13398,21649,46.3,1.5,1,0,0,0,0,0,1
 Focus,2017,17798,10345,41.5,2.0,0,1,0,0,0,0,1
 Kuga,2018,14998,14960,64.2,1.5,0,1,0,1,0,0,0
 Focus,2015,13998,35689,41.5,2.0,0,1,0,0,0,0,1
 EcoSport,2017,9189,31998,44.8,1.5,0,1,0,0,0,0,1
 Fiesta,2018,10399,7200,65.7,1.0,0,1,0,0,0,0,1
 Edge,2017,23899,27146,47.9,2.0,1,0,0,1,0,0,0
 Fiesta,2013,5330,66937,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2019,15985,5099,51.4,1.0,0,1,0,0,0,0,1
 Fiesta,2015,7485,11092,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2019,21999,6000,29.1,1.5,1,0,0,0,0,0,1
 Fiesta,2017,10850,23634,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2019,23250,9931,38.7,2.0,0,0,1,1,0,0,0
 Fiesta,2016,7999,22633,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2018,7999,9355,57.7,1.2,0,1,0,0,0,0,1
 Kuga,2013,7999,78170,47.9,2.0,0,1,0,1,0,0,0
 Focus,2016,9699,13480,60.1,1.0,0,1,0,0,0,0,1
 Mustang,2019,39998,5000,22.6,5.0,1,0,0,0,0,0,1
 Fiesta,2017,8500,15060,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,9998,18912,65.7,1.0,0,1,0,0,0,0,1
